Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,Mortgage Rate,attached,multi_unit,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11,region_12,region_13,region_14,region_15,region_16,region_17,region_18,region_19,region_20,region_21,region_22,region_23,region_24,region_25,region_26,region_27,region_28,region_29,region_30,region_31,region_32,region_33
28,2018.0,-0.5211453362023059,190,-0.5200267370675691,278,134,0,0,-0.5273390816146543,-0.5164404502709186,-0.44717101266983783,-0.5301008874668833,-0.5259154594049804,-0.4803284484636571,7.0,7.5,8.3,1.1,0.286364019,1.258400316,0.76265453,0.544217687,433,474,608,672,-0.4813181240391176,-2.0810275065547974,-1.8197187116804803,0.5454711185383261,1.1328523679066484,-0.5104856085104381,18.21,298,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,2019.0,-0.5211453362023059,190,-0.5200267370675691,278,134,0,0,-0.5273390816146543,-0.5164404502709186,-0.44717101266983783,-0.5301008874668833,-0.5259154594049804,-0.4803284484636571,7.0,7.5,8.3,1.1,0.286364019,1.258400316,0.76265453,0.544217687,468,485,649,705,-0.4813181240391176,-2.0810275065547974,-1.8197187116804803,0.5454711185383261,1.1328523679066484,-0.5104856085104381,18.97,298,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,2020.0,-0.5211453362023059,190,-0.5200267370675691,278,134,0,0,-0.5273390816146543,-0.5164404502709186,-0.44717101266983783,-0.5301008874668833,-0.5259154594049804,-0.4803284484636571,7.0,7.5,8.3,1.1,0.286364019,1.258400316,0.76265453,0.544217687,443,496,667,765,-0.4813181240391176,-2.0810275065547974,-1.8197187116804803,0.5454711185383261,1.1328523679066484,-0.5104856085104381,19.41,298,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,2021.0,-0.5211453362023059,190,-0.5200267370675691,278,134,0,0,-0.5273390816146543,-0.5164404502709186,-0.44717101266983783,-0.5301008874668833,-0.5259154594049804,-0.4803284484636571,7.0,7.5,8.3,1.1,0.286364019,1.258400316,0.76265453,0.544217687,504,511,704,851,-0.4813181240391176,-2.0810275065547974,-1.8197187116804803,0.5454711185383261,1.1328523679066484,-0.5104856085104381,19.28,298,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1990.0,-0.34211990224576905,1451,-0.32729966813161976,1658,447,864,0,-0.322330350809977,-0.35439791069115695,-0.37626337722352443,0.0049885946509948004,-0.32505394382639574,0.21366820349341054,1.3,5.4,17.0,2.256354492,3.150301781,4.815266837,0.76265453,0.544217687,342,432,523,653,-0.2995101811884975,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,19.11,1540,1496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991.0,-0.37509642918887776,790,-0.3628000394530246,892,756,836,14,-0.37723818135003145,-0.39711515397330616,-0.39873943162804065,0.0049885946509948004,-0.32505394382639574,0.21366820349341054,1.6,5.4,17.0,-5.862023129,3.150301781,4.636392506,0.76265453,0.544217687,372,458,548,690,-0.2979358235160195,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,19.1,1744,1672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992.0,-0.3657145722666345,1213,-0.35270014612591577,1408,591,262,371,-0.36341983251904575,-0.35668874077253404,-0.38431392082090193,0.0049885946509948004,-0.32505394382639574,0.21366820349341054,2.3,5.4,17.0,-3.64303869,3.150301781,1.021750126,0.76265453,0.544217687,363,469,574,697,-0.29643978414399985,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,19.22,1445,1393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1993.0,-0.3407196250931955,1510,-0.32579222136637964,1895,721,283,90,-0.3750447926467004,-0.3243476102119163,-0.36896154054365143,-0.2143980930173352,-0.28185791897078616,-0.15044049358860126,2.7,5.4,17.0,-2.623094959,3.150301781,1.782495494,0.76265453,0.544217687,383,488,599,742,-0.2954600062219399,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,18.72,1639,1319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1994.0,-0.35164178688326964,1670,-0.33755030613525255,1834,323,541,135,-0.3020780617825535,-0.36571730638737315,-0.38095393061746496,-0.32230780524444064,-0.3099353351269324,-0.2982740999226512,2.4,5.4,17.0,-0.331075997,3.150301781,0.049193231,0.76265453,0.544217687,389,498,602,755,-0.29337857751231106,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,17.49,1255,1071,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1995.0,-0.4098933164303321,1057,-0.4002600915692416,1175,290,536,0,-0.4167922909667684,-0.4180021341270384,-0.40861826237241183,-0.33836048970797694,-0.2710589127568837,-0.3475519687006678,2.0,5.4,17.0,-1.162615129,3.150301781,2.468285967,0.76265453,0.544217687,396,509,614,755,-0.29080925775748023,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,16.02,1014,874,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
