Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,region,Mortgage Rate,attached,multi_unit
3,1993.0,-0.3842682445382349,987,-0.3726738157653473,1780,381,205,1,-0.3795046830101402,-0.388625607201144,-0.4061497919262677,-0.3312259632797386,-0.1479502419183963,-0.4146246234263016,4.5,2.6,17.2,-0.571085062,1.068773234,1.785597488,0.76265453,0.544217687,374,454,519,600,-0.4477227698078339,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,13.56,1940,820
4,1994.0,-0.4010015565114896,987,-0.3906878046099667,1645,419,64,0,-0.3993914072536753,-0.4049983045474567,-0.4106441544140632,-0.3660067796174007,-0.1263522294905915,-0.4816972781519353,6.6,2.6,17.2,0.226723096,1.068773234,1.785597488,0.76265453,0.544217687,371,447,528,595,-0.4463146387322469,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,13.4,1672,610
5,1995.0,-0.465414305529876,548,-0.4600303558110123,1645,213,0,0,-0.4591978058978357,-0.4692763015366844,-0.442334111464827,-0.4221911752397778,-0.3034559313985909,-0.4556895140746487,8.3,2.6,17.2,-1.779520434,1.068773234,1.785597488,0.76265453,0.544217687,375,452,536,590,-0.4453896037038747,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,13.21,1038,282
6,1996.0,-0.4768965781809796,528,-0.4723914192859813,919,94,31,0,-0.477549158049039,-0.4739927164101078,-0.4429647503415163,-0.4498374651492016,-0.3617705649536639,-0.4611648328277617,7.7,2.6,17.2,-1.550744665,1.068773234,1.785597488,0.76265453,0.544217687,380,443,537,598,-0.4433017816635962,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,13.04,798,234
7,1997.0,-0.4616335572179272,638,-0.455960249544864,1099,106,57,0,-0.4673133441001607,-0.4617974150945415,-0.4374286318169476,-0.4204075436327182,-0.3272137450691762,-0.4378947281270316,9.4,2.6,17.2,0.68621335,1.068773234,1.785597488,0.76265453,0.544217687,361,443,530,595,-0.4425269899054909,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,12.49,946,302
8,1998.0,-0.4628938066552435,687,-0.4573169516335801,1031,161,52,0,-0.4744784138643755,-0.4597087170791683,-0.4350860063484388,-0.4186239120256587,-0.3747293724103467,-0.4050428156083538,6.7,2.6,17.2,0.697026022,1.068773234,1.785597488,0.76265453,0.544217687,383,447,529,596,-0.4417673823076786,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,12.13,753,361
9,1999.0,-0.4670246242553356,640,-0.4617639195910384,864,272,49,0,-0.4774029321354836,-0.4664464526126303,-0.4382681874963966,-0.4730246760409762,-0.4200851985087369,-0.4597960031394835,4.4,2.6,17.2,2.630364559,1.068773234,1.785597488,0.76265453,0.544217687,389,453,534,599,-0.4411424342366746,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,11.58,699,391
10,2000.0,-0.4642940838078171,768,-0.4588243983988202,968,242,14,0,-0.4764524636973735,-0.4739253390547732,-0.4367018417213909,-0.4694574128268571,-0.4373636084509807,-0.4433700468801446,1.4,2.6,17.2,7.314148681,9.823754789,1.785597488,0.76265453,0.544217687,410,457,544,606,-0.4399217076657558,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,11.45,598,314
11,2001.0,-0.4338380557393409,1093,-0.4260374312548476,1353,306,0,0,-0.469945410544158,-0.432084001391974,-0.4127937704505808,-0.5185072820209959,-0.4546420183932245,-0.5077050422292219,0.6,2.6,17.2,11.57821229,7.898409154,1.785597488,0.76265453,0.544217687,419,485,573,648,-0.4372097367208045,0.7024341326826781,-0.3419222959082157,0.0687111343457002,1.1328523679066484,-0.3393532161049104,7,11.27,762,370
12,2002.0,-0.3712456670193003,1574,-0.3586545608486142,1929,594,30,0,-0.408530526850888,-0.3713096268801466,-0.3736096742822092,-0.478375570862155,-0.3509715587397615,-0.5118115312940565,0.5,2.6,17.2,7.698084867,10.88980859,1.785597488,0.76265453,0.544217687,432,509,599,684,-0.4355722449081612,0.456453801773319,-0.3419222959082157,-0.0798684266947934,1.1328523679066484,-0.3393532161049104,7,11.23,1217,741
13,2003.0,-0.3538822303273874,1507,-0.3399622209596367,1885,707,209,0,-0.3270826930005276,-0.3314222325220514,-0.3494364801652574,-0.5898525463033797,-0.6166271116017605,-0.5145491906706131,1.2,2.6,17.2,3.754067875,6.58968976,1.785597488,0.76265453,0.544217687,462,548,639,720,-0.4337948989875566,0.9397835756512876,1.4027884646373152,-0.2344344552659223,1.1328523679066484,-0.3293613198635189,7,11.24,1610,978
14,2004.0,-0.3240563269775694,1561,-0.3078536048600221,2015,406,806,0,-0.3354906830299634,-0.3495467411070643,-0.3476919718376444,-0.478375570862155,-0.6036683041450777,-0.3516584577655025,2.1,2.6,17.2,6.597961241,6.663748769,1.785597488,0.76265453,0.544217687,483,557,663,769,-0.4321622021729006,0.875051909622509,-0.0610709625463282,-0.1714218435107506,1.1328523679066484,-0.3495568050632806,7,11.31,2024,1308
15,2005.0,-0.401351625799633,1192,-0.3910646663012768,1450,319,295,59,-0.3952970816741239,-0.4088388138015301,-0.3778187645875562,-0.4007875959550627,-0.3704097699247858,-0.3804038812193455,3.1,3.2,17.2,4.602774275,4.134181371,1.785597488,0.76265453,0.544217687,469,562,660,746,-0.4304723649655632,0.9699916847385416,0.4077942470186991,-0.2296613728988937,1.1328523679066484,-0.3492604352595105,7,11.47,1167,695
16,2006.0,-0.3446404011204015,1171,-0.3300130723090519,1861,720,340,12,-0.3474812079415066,-0.329198779796009,-0.3411211672188664,-0.3588722531891622,-0.2796981177280057,-0.3735597327779543,4.2,4.4,17.2,3.094233474,3.733622303,1.785597488,0.76265453,0.544217687,474,565,667,760,-0.4292064854969311,1.1685021280898826,1.0269352332706976,-0.8133834101049442,1.1328523679066484,-0.4118368023983946,7,11.38,2286,1238
17,2007.0,-0.3547924104765603,1037,-0.3409420613570428,1758,626,382,22,-0.3669292544443754,-0.3262341761612857,-0.3354892509725584,-0.3998957801515329,-0.4157655960231759,-0.3502896280772243,2.9,3.3,17.2,1.744299357,5.954415954,1.785597488,0.76265453,0.544217687,487,565,662,762,-0.4271066759616845,1.1318208498104878,0.1114681287936408,-0.7113677853362012,1.1328523679066484,-0.3784316916591662,7,10.84,2197,1305
18,2008.0,-0.318665259940161,1120,-0.3020499348138477,2027,668,532,77,-0.3322005999749668,-0.352780854163126,-0.3466866260050748,-0.3133896472091426,-0.2257030866584936,-0.3379701608827201,1.9,2.4,17.2,3.802317786,4.526306355,1.785597488,0.76265453,0.544217687,492,572,677,759,-0.4248821964787695,1.703617234790875,1.9533674264314969,-1.1167775756385534,1.1328523679066484,-0.3706413996743525,7,10.14,2882,1486
19,2009.0,-0.331827865174353,1056,-0.3162199344071048,2033,386,640,57,-0.2995922212521116,-0.379394909520301,-0.3649327337736808,-0.2295589616773417,-0.2581001053002008,-0.1887677248603919,2.2,2.7,17.2,1.494740727,6.173898131,1.785597488,0.76265453,0.544217687,511,590,690,791,-0.422393192940225,1.1426094616783726,-1.3443256084589383,-0.6151484420784205,1.1328523679066484,-0.3544257375537891,7,9.84,2788,1332
20,2010.0,-0.361863810097057,910,-0.3485546675215054,1877,339,435,36,-0.357936360760718,-0.3405181754922252,-0.3394812940411974,-0.3267668842620896,-0.2645795090285422,-0.3338636718178854,2.5,3.1,21.3,3.981818182,5.855273785,1.785597488,0.76265453,0.544217687,518,606,711,808,-0.4201039809844823,1.233233794118661,0.0829415364708613,-0.2200697457104751,1.1328523679066484,-0.3780506447686047,7,9.71,2527,1027
21,2011.0,-0.3805575100839148,784,-0.368679081837461,1459,274,557,130,-0.383745234503247,-0.3452345903656486,-0.3406488950556058,-0.276825199264421,-0.3012961301558104,-0.2339391045735739,2.2,2.8,19.3,2.972547648,4.554818036,1.785597488,0.76265453,0.544217687,526,616,731,825,-0.4178950852450259,1.0109884082829454,-0.6695321047374742,0.1175927192973643,1.1328523679066484,-0.3617079670178542,7,9.68,2026,1246
22,2012.0,-0.356822812347792,688,-0.343127859166641,1421,721,617,0,-0.3703655634129275,-0.3542631559804877,-0.3293769321290416,-0.1876436189114413,-0.2213834841729327,-0.1477028342120447,3.3,4.3,17.7,2.598064187,2.575890251,1.785597488,0.76265453,0.544217687,528,628,743,834,-0.4164342091915793,0.7563771868435718,-0.230962569296329,-0.4058325567170993,1.1328523679066484,-0.4160706567379673,7,10.06,2533,1609
23,2013.0,-0.4152843834677405,475,-0.406063761615416,883,549,492,0,-0.4194243574107657,-0.4215731339597733,-0.3760261806505096,-0.2081553823926266,-0.2840177202135666,-0.1394898560823753,5.1,6.0,12.2,0.364117842,1.003058974,1.785597488,0.76265453,0.544217687,550,617,744,831,-0.4154232637826023,0.3528831361272756,-1.078091240729581,-0.4286843704835312,1.1328523679066484,-0.4507035852356719,7,10.37,1655,1243
24,2014.0,-0.4167546744779428,479,-0.4076465807189181,950,338,615,0,-0.3981484869884543,-0.408501927024857,-0.3649422781961419,-0.162672776412607,-0.34449215501142,-0.0313523107083944,6.5,7.0,9.4,-1.146108179,0.133821665,1.785597488,0.76265453,0.544217687,554,630,750,836,-0.4145010258363893,0.5384472462728616,-0.0998691857707481,-0.0843387787377173,1.1328523679066484,-0.4570967052884266,7,10.14,1706,1142
25,2015.0,-0.439089095061492,422,-0.431690356624498,853,445,286,0,-0.4317804471061974,-0.4345095861840203,-0.3804841329341017,-0.2420443829267589,-0.3250539438263957,-0.1654976201596619,5.9,7.3,8.1,-0.967553591,-2.096082155,1.785597488,0.76265453,0.544217687,574,656,751,850,-0.4137426169880738,1.021777017561565,0.6705187751128711,0.0566895199175011,1.1328523679066484,-0.4648869972732403,7,9.72,1492,832
26,2016.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,577,653,762,859,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,9.26,1662,1226
27,2017.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,565,656,782,870,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,8.72,1662,1226
28,2018.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,561,696,794,892,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,8.54,1662,1226
29,2019.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,623,749,874,969,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,9.23,1662,1226
30,2020.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,631,791,949,1036,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,9.33,1662,1226
31,2021.0,-0.422635838518752,375,-0.4139778571329267,712,616,491,0,-0.4483039753379581,-0.4138921154516266,-0.3781899365721548,-0.3107141997985532,-0.3272137450691762,-0.2695286764688081,6.3,7.0,6.6,0.286364019,3.599396508,1.785597488,0.76265453,0.544217687,652,857,1034,1087,-0.412300121760245,0.5362895223457264,-1.3623440467852015,-0.0757265129114762,1.1328523679066484,-0.4040888489569766,7,9.48,1662,1226
0,1990.0,-0.3621438655275718,2137,-0.4206859952382452,1389,312,27,2,-0.3430213175780668,-0.3335783078927593,-0.4012913273964373,-0.509589123985698,-0.4416832109365416,-0.502229723476109,3.2,6.4,6.4,1.436692506,4.599357198,-1.751956973,5.460784314,2.609739026,311,362,432,471,-0.2493652909874116,-1.766000064351653,-0.1626370736188927,2.521835172494552,-2.659330403158945,-0.4952860714313721,6,9.47,645,447
1,1991.0,-0.3489112464357511,2154,-0.4287508354322798,1137,476,10,0,-0.3504057262126147,-0.3641002498593422,-0.4161926453381185,-0.509589123985698,-0.4416832109365416,-0.502229723476109,3.7,6.4,6.4,0.876299164,6.516211062,-1.751956973,5.215208701,3.215747418,325,380,451,476,-0.2472031464783307,-2.0918161184226824,-1.3164446693809628,2.825891180795509,-2.659330403158945,-0.4952860714313721,6,9.44,847,589
2,1992.0,-0.3182451767943889,2391,-0.3919691343604209,1419,597,51,44,-0.3362949255545182,-0.3235390819479009,-0.4039931059471863,-0.509589123985698,-0.4416832109365416,-0.502229723476109,4.7,6.4,6.4,0.97979798,0.616731324,-1.751956973,0.353419332,2.152567976,331,388,461,489,-0.2461826110733793,-2.059450285408293,-0.3961801927360341,2.9779191849459883,0.1023469983000077,-0.4952860714313721,6,8.97,1091,747
3,1993.0,-0.2914298693226042,2535,-0.3946071661995911,1427,599,50,0,-0.2938894106234508,-0.3265036855826241,-0.4031857185064025,-0.491752807915102,-0.3898479811098101,-0.5077050422292219,5.3,6.4,6.4,-0.070021006,1.28521997,-1.751956973,-1.170980806,1.46025878,340,392,470,499,-0.2459064991059472,-2.040030785599659,-0.224256562985494,2.775215179412017,-1.122140867446018,-0.557439053136299,6,8.89,1357,959
4,1994.0,-0.3257366595606578,2547,-0.4142039741477126,1453,325,38,0,-0.2891370684329002,-0.3593838349859188,-0.4063166425707729,-0.4819428340762742,-0.3920077823525906,-0.491279085969883,6.8,6.4,6.4,0.13013013,0.55636896,-1.751956973,-1.363028953,1.30260521,343,396,479,507,-0.2453578714195736,-2.1845981722008427,-0.8004762928988004,2.7245391780285235,-2.1774712892267423,-0.5097658532727107,6,8.88,822,490
5,1995.0,-0.3889591729993565,1722,-0.443749930746419,1045,362,16,1,-0.3791391182262517,-0.3857283809217553,-0.4185398662692939,-0.5292090716633535,-0.4891988382777122,-0.502229723476109,6.7,6.4,6.4,-0.149955013,1.553096486,-1.751956973,2.772760116,1.303839583,343,395,484,521,-0.2450549873800461,-1.9968763407173848,0.5803779667292721,2.1671031628101014,-2.0598967964973283,-0.5248807132649852,6,8.86,705,451
